Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,78.700226,78.888054,78.287003,78.850487,67.982590,832607
2017-01-16,78.174309,78.437263,77.160027,77.310295,66.654686,871872
2017-01-17,77.009766,77.347855,76.709244,77.009766,66.395576,1016062
2017-01-18,77.648384,77.911346,76.634109,76.934631,66.330795,919941
2017-01-19,77.347855,77.723518,77.122467,77.573250,66.881401,1036130
2017-01-20,77.385422,77.986473,76.784370,77.422989,66.751846,1639467
2017-01-23,77.084900,77.648384,76.709244,77.122467,66.492744,821944
2017-01-24,77.160027,77.272728,76.709244,77.197594,66.557518,824598
2017-01-25,77.836212,78.249435,77.610817,77.873779,67.140511,867529
2017-01-26,78.024040,78.287003,77.084900,77.723518,67.010956,1017419
2017-01-27,77.798645,77.798645,76.821938,76.821938,66.233635,987940
2017-01-30,76.709244,76.821938,75.957924,76.070625,65.585869,1068765
2017-01-31,75.995491,76.296021,75.131477,75.131477,64.776169,1304340
2017-02-01,75.432007,76.371147,75.244179,75.356873,64.970497,1078503
2017-02-02,75.206612,75.957924,75.206612,75.469574,65.067657,901370
2017-02-03,75.507133,76.371147,75.244179,75.807663,65.359161,845857
2017-02-06,75.694969,75.957924,74.605560,74.718254,64.419899,909741
2017-02-07,75.078888,75.582268,74.830956,75.281746,64.905724,832307
2017-02-08,75.507133,75.732529,74.921112,75.244179,64.873344,1018084
2017-02-09,75.319305,76.558975,75.244179,76.145752,65.650642,833819
2017-02-10,76.371147,76.558975,76.070625,76.333580,65.812592,810855
2017-02-13,76.333580,77.986473,76.333580,77.573250,66.881401,1037937
2017-02-14,76.145752,77.535690,75.957924,77.122467,66.492744,983578
2017-02-15,76.258453,79.564240,75.507133,79.489105,68.533195,2285860
2017-02-16,79.338844,79.489105,78.399696,78.812920,67.950203,1295877
2017-02-17,78.700226,79.188583,76.709244,78.737793,67.885437,1487014
2017-02-20,79.226143,79.451538,78.399696,78.812920,67.950203,731762
2017-02-21,78.512398,78.850487,78.174309,78.549965,67.723488,891309
2017-02-22,78.549965,79.188583,77.122467,77.498123,66.816620,1324390
2017-02-23,77.460556,77.911346,76.859505,77.122467,66.492744,965219
2017-02-24,77.009766,77.272728,76.258453,76.746803,66.168861,1113437
2017-02-27,77.084900,77.498123,76.521416,76.972198,66.363190,618087
2017-02-28,77.272728,77.347855,76.483849,76.558975,66.006912,1212133
2017-03-01,77.197594,78.211868,77.009766,77.798645,67.075729,1271629
2017-03-02,77.798645,77.836212,77.197594,77.197594,66.557518,1014603
2017-03-03,77.197594,77.347855,76.784370,77.235161,66.589905,998711
2017-03-06,77.272728,77.498123,76.784370,77.235161,66.589905,1031442
2017-03-07,77.535690,77.535690,76.483849,76.709244,66.136482,945587
2017-03-08,76.521416,77.047333,76.371147,76.821938,66.233635,695749
2017-03-09,76.821938,77.272728,76.296021,76.859505,66.266029,990401
2017-03-10,77.047333,77.535690,76.709244,76.859505,66.266029,851584
2017-03-13,77.160027,77.723518,76.934631,77.723518,67.010956,913708
2017-03-14,77.761078,77.986473,77.422989,77.798645,67.075729,953732
2017-03-15,77.723518,78.287003,77.610817,78.136742,67.367218,771937
2017-03-16,78.512398,78.812920,78.287003,78.662659,67.820656,1227307
2017-03-17,78.625092,79.413971,78.437263,79.263710,68.338875,2029596
2017-03-20,79.038315,79.564240,79.000748,79.376411,68.436028,662187
2017-03-21,79.564240,80.015022,79.188583,79.413971,68.468414,922247
2017-03-22,79.151016,79.752068,78.888054,79.639366,68.662743,912403
2017-03-23,79.451538,80.090157,79.151016,80.052589,69.019012,784533
2017-03-24,79.902328,80.315552,79.451538,79.789635,68.792297,773953
2017-03-27,79.226143,79.977463,78.888054,79.977463,68.954231,821965
2017-03-28,79.827194,79.939896,78.963188,79.789635,68.792297,987918
2017-03-29,79.977463,80.428246,79.601807,80.428246,69.342896,828603
2017-03-30,80.390686,80.503380,79.939896,80.240417,69.180954,706980
2017-03-31,80.277985,80.465813,79.676933,80.465813,69.375267,1375777
2017-04-03,80.616081,81.029305,80.165291,80.353119,69.278122,995819
2017-04-04,80.428246,80.766342,79.789635,80.315552,69.245728,960068
2017-04-05,80.390686,80.691208,80.240417,80.465813,69.375267,901069
2017-04-06,80.277985,81.367393,79.752068,81.104431,69.925888,1091871
2017-04-07,80.879036,82.081139,80.653641,82.081139,70.767967,1218204
2017-04-10,81.893311,81.968445,81.404961,81.442528,70.217377,929827
2017-04-11,81.141998,81.592789,79.977463,80.428246,69.342896,1185057
2017-04-12,80.578514,81.367393,80.503380,80.728775,69.601997,849208
2017-04-13,80.728775,81.254692,80.503380,80.766342,69.634377,1230923
2017-04-18,80.766342,81.254692,79.827194,80.202850,69.148575,1242058
2017-04-19,80.090157,80.465813,79.564240,79.639366,68.662743,992287
2017-04-20,79.413971,80.578514,79.226143,80.353119,69.278122,1191143
2017-04-21,80.015022,80.428246,79.451538,79.451538,68.500801,2118979
2017-04-24,81.893311,84.109688,81.367393,83.208115,71.739609,3051250
2017-04-25,83.283241,83.508636,82.945152,83.358376,71.869164,1249520
2017-04-26,83.508636,84.785873,83.433510,84.297523,72.678864,1658608
2017-04-27,83.734032,83.959427,82.607063,83.395943,71.901550,1678655
2017-04-28,83.020287,83.433510,82.494362,83.095413,71.642441,1196863
2017-05-02,83.771599,84.447784,83.471077,84.410217,72.776039,1290235
2017-05-03,84.259956,84.861008,83.583771,84.861008,73.164696,1262517
2017-05-04,85.086403,85.349358,84.560478,85.123962,73.391403,1175103
2017-05-05,85.199097,86.513901,84.861008,86.513901,74.589767,1410709
2017-05-08,86.551468,86.589027,85.123962,85.274231,73.520966,1187113
2017-05-09,85.574753,86.250938,85.274231,85.950417,74.103943,889106
2017-05-10,85.725021,85.875282,85.462059,85.574753,73.780060,824511
2017-05-11,85.725021,85.837715,84.748306,85.161530,73.423782,1050684
2017-05-12,85.499626,86.025543,84.823441,85.875282,74.039169,1182420
2017-05-15,84.447784,84.710747,83.283241,84.072128,74.171738,1076323
2017-05-16,84.184822,84.184822,83.358376,83.395943,73.575180,941321
2017-05-17,83.020287,83.245682,81.780617,82.306534,72.614059,1269947
2017-05-18,82.419235,82.870026,81.555222,82.344101,72.647217,1307948
2017-05-19,82.607063,83.245682,82.344101,83.245682,73.442619,1385356
2017-05-22,83.546204,83.658905,83.095413,83.095413,73.310036,830856
2017-05-23,83.057854,83.884300,82.907585,83.696465,73.840309,668798
2017-05-24,83.583771,84.034561,82.945152,83.057854,73.276909,753572
2017-05-25,83.433510,83.696465,82.719757,83.208115,73.409470,613380
2017-05-26,83.057854,83.358376,82.494362,83.358376,73.542030,723004
2017-05-29,83.358376,83.471077,83.057854,83.170547,73.376328,383559
2017-05-30,82.757324,82.832458,81.818184,81.818184,72.183220,1102268
2017-05-31,82.118706,82.193840,81.367393,81.517654,71.918076,1532116
2017-06-01,81.705482,82.607063,81.667915,82.531929,72.812912,932972
2017-06-02,83.057854,83.734032,82.794891,83.471077,73.641472,957426
2017-06-05,83.395943,83.508636,82.794891,82.982719,73.210617,432613
2017-06-06,82.607063,82.607063,82.081139,82.231407,72.547783,886754
2017-06-07,81.592789,82.569496,81.404961,81.555222,71.951218,988767
2017-06-08,81.667915,82.006012,81.217133,81.404961,71.818649,963134
2017-06-09,81.630356,82.757324,81.329826,82.494362,72.779770,932771
2017-06-12,82.494362,82.607063,81.630356,82.006012,72.348930,891125
2017-06-13,82.494362,83.395943,82.381668,82.757324,73.011765,975147
2017-06-14,83.057854,83.395943,81.592789,81.592789,71.984375,1230904
2017-06-15,81.517654,81.592789,80.127724,80.728775,71.222107,1382650
2017-06-16,82.982719,83.208115,81.818184,82.494362,72.779770,2151059
2017-06-19,83.208115,84.635612,82.982719,84.522919,74.569443,1393121
2017-06-20,84.673180,85.537193,84.635612,84.710747,74.735161,1383501
2017-06-21,84.335083,84.861008,83.846733,84.598045,74.635727,1315351
2017-06-22,84.522919,84.748306,83.809166,84.072128,74.171738,1289185
2017-06-23,83.771599,84.109688,83.245682,83.771599,73.906601,736506
2017-06-26,84.147255,84.297523,83.508636,83.771599,73.906601,793040
2017-06-27,83.696465,83.959427,83.020287,83.433510,73.608322,972565
2017-06-28,83.057854,83.809166,82.381668,82.982719,73.210617,1135319
2017-06-29,83.170547,83.320808,81.217133,81.329826,71.752380,1359195
2017-06-30,81.517654,82.268967,81.292259,81.292259,71.719231,1386916
2017-07-03,81.930878,82.870026,81.667915,82.682190,72.945473,740384
2017-07-04,82.344101,82.719757,82.006012,82.006012,72.348930,659175
2017-07-05,81.667915,81.893311,80.803909,81.630356,72.017517,1163156
2017-07-06,81.555222,81.743050,80.240417,80.991737,71.454094,1361956
2017-07-07,80.803909,81.029305,80.465813,80.691208,71.188965,793354
2017-07-10,80.991737,81.292259,80.616081,81.104431,71.553520,595196
2017-07-11,81.217133,81.555222,80.390686,80.390686,70.923828,808960
2017-07-12,80.691208,82.268967,80.540947,82.043579,72.382072,1046975
2017-07-13,82.081139,82.644630,81.705482,81.743050,72.116936,961367
2017-07-14,81.893311,82.456802,81.555222,82.193840,72.514633,666345
2017-07-17,82.193840,82.644630,81.893311,82.344101,72.647217,701008
2017-07-18,82.268967,82.381668,81.104431,81.517654,71.918076,860736
2017-07-19,81.930878,82.118706,81.555222,82.081139,72.415215,770515
2017-07-20,82.456802,83.132980,81.066864,81.480087,71.884941,888461
2017-07-21,81.217133,81.780617,79.226143,79.676933,70.294128,1623863
2017-07-24,80.127724,80.353119,79.376411,79.939896,70.526115,1004319
2017-07-25,79.789635,80.728775,79.789635,80.015022,70.592392,961579
2017-07-26,80.202850,81.104431,79.827194,80.616081,71.122673,818368
2017-07-27,80.127724,81.329826,79.864761,80.240417,70.791252,1179130
2017-07-28,79.263710,79.301277,78.211868,78.888054,69.598145,1444161
2017-07-31,79.263710,79.263710,77.723518,77.911346,68.736443,1347457
2017-08-01,78.812920,79.000748,77.535690,78.211868,69.001587,1015961
2017-08-02,78.549965,78.775352,77.573250,77.911346,68.736443,1063130
2017-08-03,77.798645,78.888054,77.723518,78.324570,69.101021,926519
2017-08-04,78.324570,79.827194,78.061607,79.601807,70.227837,1157401
2017-08-07,79.676933,79.827194,79.188583,79.188583,69.863281,560139
